NAME,FIRSTREF,FIRSTURL,DATE,NUM_OBS,MASS(mjupiter),RADIUS(rjupiter),PERIOD(day),ECCENTRICITY,SEMI_MAJOR_AXIS(AU),SEPARATION(AU),STAR_NAME,DIST(PARSEC),RA_STRING(h:m:s),DEC_STRING(d:m:s),STAR_MASS(msun),STAR_RADIUS(rsun)
HD 95089 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,2010,22,1.12925,,507,0.157,1.38575,1.38575,HD 95089,139.082,+10:58:47.76,+01:43:45.59,1.38,4.34001
HD 43197 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,2010,33,0.596868,,327.8,0.83,0.918027,0.918027,HD 43197,56.3063,+06:13:35.56,-29:53:50.29,0.96,1.19673
HD 147018 c,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,2010,101,6.59355,,1008,0.133,1.92274,1.92274,HD 147018,42.9553,+16:23:00.37,-61:41:16.78,0.927,1.05268
Kepler-427 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,9,0.29,1.23,10.290994,0,0.091351,0.091351,Kepler-427,1100,19:13:01.099,+43:42:17.5,0.96,1.35
Kepler-431 d,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,,0.00452953,0.101,11.922,,0.104497,0.104497,Kepler-431,,18:44:26.900,+43:13:40.,1.071,1.092
Kepler-420 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,,1.45,0.94,86.647661,0.772,0.381935,0.381935,Kepler-420,900,19:24:54.043,+44:55:38.,0.99,1.13
Kepler-447 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,21,1.37,1.65,7.79430132,0.123,0.0769686,0.0769686,Kepler-447,,19:01:04.46,+48:33:36.0,1,1.05
HAT-P-15 b,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,2010,21,1.95154,1.072,10.863502,0.19,0.0964692,0.0964692,HAT-P-15,190.114,04:24:59.534,+39:27:38.3,1.013,1.08
HD 175167 b,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,2010,13,7.77836,,1290,0.54,2.40085,2.40085,HD 175167,67.2948,+19:00:00.85,-69:56:37.59,1.102,
HD 148156 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,2010,42,0.847612,,1027,0.52,2.12913,2.12913,HD 148156,51.5996,+16:28:17.25,-46:19:03.71,1.22,0.965665
61 Vir b,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,2010,,0.016075,,4.215,0.12,0.05006,0.05006,61 Vir,8.55505,+13:18:24.97,-18:18:31.00,0.942,0.978547
CoRoT-8 b,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,2010,21,0.216078,0.57,6.21229,0,0.0633825,0.0633825,CoRoT-8,380.228,19:26:21.240,+01:25:35.2,0.88,0.77
HD 181342 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,2010,17,3.14944,,663,0.177,1.777,1.777,HD 181342,110.619,+19:21:04.26,-23:37:10.19,1.7,4.76324
HAT-P-16 b,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,2010,27,4.2025,1.289,2.77596,0.036,0.0413275,0.0413275,HAT-P-16,235,00:38:17.562,+42:27:47.2,1.218,1.237
WASP-8 b,Queloz 2010,http://adsabs.harvard.edu/abs/2010A%26A...517L...1Q,2010,75,2.13797,1.038,8.158715,0.31,0.080153,0.080153,WASP-8,86.9996,23:59:36.068,-35:01:52.8,1.03,0.945
HD 44219 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,2010,46,0.589265,,472.3,0.61,1.18713,1.18713,HD 44219,50.4286,+06:20:14.28,-10:43:29.89,1,1.36324
WASP-26 b,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,2010,16,1.01746,1.32,2.7566,0,0.0399686,0.0399686,WASP-26,250,00:18:24.701,-15:16:02.3,1.12,1.34
HD 204313 b,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,2010,36,3.50088,,1920.1,0.23,3.07131,3.07131,HD 204313,47.3709,+21:28:12.18,-21:43:32.14,1.045,1.12584
gamma Leo A b,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,2010,205,10.3722,,428.5,0.144,1.29554,1.29554,gamma Leo A,39.8883,+10:19:58.16,+19:50:30.70,1.57,27.4346
NN Ser c,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,2010,,2.24099,,5571,0.22,6.15467,6.15467,NN Ser,,15:52:56.131,+12:54:44.6,,
KOI-4427 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,,0.0135484,0.164155,147.6606,0,0.441345,0.441345,KOI-4427,240,+19:40:28.14,+39:16:26.72,0.526,0.505
MOA-2008-BLG-310L b,Janczak 2010,http://adsabs.harvard.edu/abs/2010ApJ...711..731J,2010,,0.23,,,,,1.25,MOA-2008-BLG-310L,,17:54:14.530,-34:46:40.9,0.67,
Kepler-436 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,,0.0226353,0.243556,64.00205,0,0.281824,0.281824,Kepler-436,618,+20:06:53.0,+44:24:43.40,0.729,0.697
Kepler-9 d,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,2010,,0.0121773,0.146311,1.592851,0,0.0266925,0.0266925,Kepler-9,,19:02:17.756,+38:24:03.1,1,1.1
Kepler-444 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,2010,,0.000134008,0.0367,3.6001053,0.16,0.0419153,0.0419153,Kepler-444,35.7,+19:19:00.47,+41:38:10.10,0.758,0.752
MOA-2009-BLG-266L b,Donnison 2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2010...x/pdf,2010,,0.0327,,,,,3.2,MOA-2009-BLG-266L,3040,17:48:06.000,-35:00:19.0,0.56,
Kepler-6 b,Dunham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.136D,2010,9,0.669376,1.323,3.234723,0,0.0456089,0.0456089,Kepler-6,,19:47:20.941,+48:14:23.8,1.209,1.391
Kepler-5 b,Koch 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.131K,2010,,2.11663,1.431,3.54846,0,0.0506416,0.0506416,Kepler-5,,19:57:37.682,+44:02:06.1,1.374,1.793
Kepler-30 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.035557,0.347625,29.334,0.042,0.185524,0.185524,Kepler-30,,19:01:08.076,+38:56:50.2,0.99,0.95
Kepler-24 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0185071,0.213923,8.14561,0,0.0800144,0.0800144,Kepler-24,,19:21:39.184,+38:20:37.5,1.03,1.07
WASP-34 b,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,2011,24,0.583354,1.22,4.3176782,0.038,0.0520747,0.0520747,WASP-34,120,11:01:35.894,-23:51:38.3,1.01,0.93
Kepler-59 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.00441201,0.100246,11.8681707,,0.103167,0.103167,Kepler-59,,19:08:09.481,+46:38:24.4,1.04,0.94
Kepler-48 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0123966,0.17133,4.778,0,0.0532027,0.0532027,Kepler-48,,19:56:33.411,+40:56:56.4,0.88,0.89
HAT-P-20 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011,10,7.28953,0.867,2.875317,0.015,0.03616,0.03616,HAT-P-20,70.0001,07:27:39.949,+24:20:11.3,0.756,0.694
HD 10180 e,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,2011,190,0.0797893,,49.747,0.065,0.269917,0.269917,HD 10180,39.0168,+01:37:53.59,-60:30:41.55,1.06,1.10851
HAT-P-27 b,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,2011,44,0.617485,1.02,3.039577,0,0.0399488,0.0399488,HAT-P-27,204,14:51:04.189,+05:56:50.5,0.92,0.87
HD 33142 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,33,1.41137,,326.6,0.12,1.09038,1.09038,HD 33142,126,+05:07:35.55,-13:59:11.63,1.62,4.29546
HD 10180 h,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,2011,190,0.206033,,2248,0.151,3.42452,3.42452,HD 10180,39.0168,+01:37:53.59,-60:30:41.55,1.06,1.10851
HD 200964 c,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,2011,80,0.945722,,825,0.181,2.00121,2.00121,HD 200964,72.2022,+21:06:39.79,+03:48:10.79,1.57,3.80029
HD 96063 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,15,1.14167,,361.1,0,1.11312,1.11312,HD 96063,158,+11:04:44.44,-02:30:47.43,1.41,3.66196
GJ 676 A b,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,2011,69,4.89701,,1056.8,0.326,1.81539,1.81539,GJ 676 A,16.4501,+17:30:11.45,-51:38:11.49,0.71,
Kepler-18 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0516,0.622714,14.85888,0.000521567,0.117171,0.117171,Kepler-18,,19:52:19.067,+44:44:46.9,0.972,1.108
HAT-P-22 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011,12,2.15137,1.08,3.21222,0.016,0.0414094,0.0414094,HAT-P-22,82.0001,10:22:43.589,+50:07:42.0,0.916,1.04
HD 142245 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,19,1.89038,,1299,0,2.77628,2.77628,HD 142245,109.5,+15:52:56.31,+15:25:50.73,1.69,4.51552
Kepler-74 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,17,0.66711,1.32,7.340718,0.287,0.0827067,0.0827067,Kepler-74,1330,19:32:22.210,+41:21:19.8,1.4,1.51
Kepler-59 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0149563,0.180443,17.9801235,,0.136086,0.136086,Kepler-59,,19:08:09.481,+46:38:24.4,1.04,0.94
Kepler-26 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0397121,0.320884,12.282356,0,0.0902469,0.0902469,Kepler-26,,18:59:45.839,+46:33:59.5,0.65,0.59
WASP-23 b,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T,2011,26,0.872226,0.962,2.9444256,0,0.037022,0.037022,WASP-23,,06:44:30.650,-42:45:41.0,0.78,0.765
Kepler-45 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,0,0.511499,0.96,2.455239,0.11,0.0298817,0.0298817,Kepler-45,333,19:31:29.495,+41:03:51.3,0.59,0.55
Kepler-23 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0139795,0.169356,7.10664,0,0.0749015,0.0749015,Kepler-23,,19:36:52.539,+49:28:45.2,1.11,1.52
HD 97658 b,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,2011,,0.024739,0.208761,9.4909,0.064,0.0796373,0.0796373,HD 97658,21.1149,+11:14:33.23,+25:42:36.96,0.748,0.703
Kepler-15 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,24,0.662431,0.96,4.942782,0.133933,0.0571382,0.0571382,Kepler-15,,19:44:48.145,+49:08:24.3,1.018,0.992
Kepler-57 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0163986,0.195205,5.7293196,,0.0588891,0.0588891,Kepler-57,,19:34:33.908,+44:39:25.3,0.83,0.73
Kepler-68 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,52,0.026183,0.205901,5.398763,0,0.0617749,0.0617749,Kepler-68,135,19:24:07.764,+49:02:24.9,1.079,1.243
HD 106270 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,20,11.0869,,2890,0.402,4.37827,4.37827,HD 106270,84.8969,+12:13:37.34,-09:30:47.80,1.33,2.66147
Kepler-32 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0147699,0.1784,8.7522,0,0.0676835,0.0676835,Kepler-32,303,19:51:22.177,+46:34:27.3,0.54,0.53
HD 30856 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,16,1.85721,,912,0.117,2.04004,2.04004,HD 30856,118.1,+04:50:17.85,-24:22:07.66,1.36,5.5698
CoRoT-18 b,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,2011,33,3.48652,1.31,1.9000693,0.04,0.0295483,0.0295483,CoRoT-18,869.996,06:32:41.379,-00:01:53.7,0.95,1
HD 104067 b,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,2011,88,0.185935,,55.806,0,0.264333,0.264333,HD 104067,21.0659,+11:59:09.92,-20:21:09.90,0.791,0.858425
Kepler-20 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,30,0.0236865,0.24512,77.61184,0,0.345324,0.345324,Kepler-20,290,19:10:47.524,+42:20:19.30,0.912,0.944
Kepler-55 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0188372,0.216597,27.9481449,,0.153688,0.153688,Kepler-55,,19:00:40.401,+44:01:35.2,0.62,0.58
HD 192310 c,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,2011,139,0.0736073,,525.8,0.32,1.18358,1.18358,HD 192310,8.91107,+20:15:16.58,-27:01:57.13,0.8,0.847025
HD 20794 b,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,2011,187,0.00848679,,18.315,0,0.120738,0.120738,HD 20794,6.04339,+03:19:53.22,-43:04:17.58,0.7,1.22683
Kepler-75 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,11,9.98479,1.03,8.884924,0.569,0.0807413,0.0807413,Kepler-75,1140,19:24:33.022,+36:34:38.5,0.88,0.88
HD 1690 b,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,2011,42,6.52644,,533,0.64,1.36191,1.36191,HD 1690,310.559,+00:21:13.32,-08:16:52.19,1.18,21.1524
HD 10180 f,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,2011,190,0.0743252,,122.72,0.133,0.49279,0.49279,HD 10180,39.0168,+01:37:53.59,-60:30:41.55,1.06,1.10851
Kepler-33 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.095206,0.477,21.77596,0,0.166175,0.166175,Kepler-33,,19:16:18.612,+46:00:18.7,1.291,1.82
Kepler-42 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.000954523,0.0650682,0.45328509,,0.00585017,0.00585017,Kepler-42,38.7,19:28:52.556,+44:37:09.6,0.13,0.17
Kepler-28 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0397121,0.320884,5.91213,0,0.0581375,0.0581375,Kepler-28,,19:28:32.887,+42:25:45.9,0.75,0.7
HD 200964 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,2011,80,1.94873,,613.8,0.04,1.64347,1.64347,HD 200964,72.2022,+21:06:39.79,+03:48:10.79,1.57,3.80029
Kepler-51 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.00661,0.628398,45.1555023,,0.248169,0.248169,Kepler-51,,19:45:55.146,+49:56:15.6,1,0.91
GJ 667 C b,Bonfils 2011,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B,2011,179,0.0174951,,7.1999,0.15,0.0504277,0.0504277,GJ 667 C,7.23589,17:18:58.838,-34:59:48.6,0.33,
alpha Ari b,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L,2011,678,1.71662,,380,0.25,1.1296,1.1296,alpha Ari,20.1776,+02:07:10.29,+23:27:46.00,1.33,13.7883
Kepler-21 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,0,0.0121473,0.1459,2.785755,0,0.0427173,0.0427173,Kepler-21,112.867,+19:09:26.81,+38:42:50.21,1.34,1.86
Kepler-53 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0299365,0.282556,38.5583038,,0.221868,0.221868,Kepler-53,,19:21:50.826,+40:33:44.8,0.98,0.89
Kepler-50 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0164915,0.196096,7.8125124,,0.0825598,0.0825598,Kepler-50,,19:12:24.217,+50:02:01.4,1.23,1.88
HD 10180 g,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,2011,190,0.0673813,,602,0,1.42271,1.42271,HD 10180,39.0168,+01:37:53.59,-60:30:41.55,1.06,1.10851
HD 20794 c,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,2011,187,0.00743617,,40.114,0,0.203628,0.203628,HD 20794,6.05987,+03:19:53.22,-43:04:17.58,0.7,1.22683
Kepler-32 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0165128,0.1963,5.90124,0,0.0520435,0.0520435,Kepler-32,303,19:51:22.177,+46:34:27.3,0.54,0.53
Kepler-56 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0465014,0.342276,10.5034294,,0.104248,0.104248,Kepler-56,,19:35:02.004,+41:52:18.7,1.37,3.14
WASP-35 b,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,2011,9,0.717098,1.32,3.161575,0,0.0431283,0.0431283,WASP-35,,05:04:19.626,-06:13:47.3,1.07,1.09
Kepler-31 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0577969,0.374365,42.6318,0,0.254502,0.254502,Kepler-31,,19:36:05.523,+45:51:11.0,1.21,1.22
Kepler-11 e,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,2011,13,0.0264312,0.373377,31.9996,0.012,0.19466,0.19466,Kepler-11,,19:48:27.622,+41:54:32.8,0.961,1.1
Kepler-10 c,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,2011,,0.054117,0.209653,45.29485,,0.239656,0.239656,Kepler-10,173,19:02:43.063,+50:14:28.7,0.895,1.056
Kepler-12 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,16,0.431956,1.695,4.4379637,0,0.0556348,0.0556348,Kepler-12,600,19:04:58.427,+50:02:25.2,1.166,1.483
HD 90156 b,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,2011,66,0.0565295,,49.77,0.31,0.249855,0.249855,HD 90156,22.3514,+10:23:55.30,-29:38:44.78,0.84,0.920961
HD 132563 B b,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,2011,47,1.49247,,1544,0.22,2.62431,2.62431,HD 132563 B,96.0615,+14:58:21.57,+44:02:35.94,1.01,
Kepler-61 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0160339,0.191639,59.87756,0,0.257458,0.257458,Kepler-61,,19:41:13.08,+42:28:31.0,0.635,0.62
GJ 667 C c,Bonfils 2011,http://arxiv.org/abs/1111.5019,2011,179,0.0130687,,28.1,0.27,0.125003,0.125003,GJ 667 C,7.23589,17:18:58.838,-34:59:48.6,0.33,
Kepler-44 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,7,1.02109,1.24,3.24674,0,0.0454854,0.0454854,Kepler-44,2250.02,20:00:24.564,+45:45:43.7,1.19,1.52
Kepler-23 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0305282,0.28523,10.7421,0,0.0986522,0.0986522,Kepler-23,,19:36:52.539,+49:28:45.2,1.11,1.52
HD 5891 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,54,5.22845,,177.11,0.066,0.636168,0.636168,HD 5891,251,+01:00:33.19,+20:17:33.30,1.09,11.8348
Kepler-52 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.015593,0.187182,7.8773565,,0.0630945,0.0630945,Kepler-52,,19:06:57.128,+49:58:32.7,0.54,0.52
Kepler-42 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0012042,0.0695249,1.2137672,,0.0112809,0.0112809,Kepler-42,38.7,19:28:52.556,+44:37:09.6,0.13,0.17
HAT-P-32 b,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,2011,15,0.861516,1.789,2.150008,0,0.0342627,0.0342627,HAT-P-32,283,02:04:10.278,+46:41:16.2,1.16,1.219
HAT-P-21 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011,15,4.07833,1.024,4.124481,0.228,0.0494951,0.0494951,HAT-P-21,254,11:25:05.988,+41:01:40.6,0.947,1.105
GJ 3634 b,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,2011,54,0.0221881,,2.64561,0.08,0.0286881,0.0286881,GJ 3634,19.7824,10:58:35.133,-31:08:38.2,0.45,0.43
24 Sex c,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,2011,24,1.51716,,910,0.412,2.24032,2.24032,24 Sex,77.4593,+10:23:28.33,-00:54:07.78,1.81,3.92062
Kepler-25 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0899033,0.463913,12.7204,0,0.113014,0.113014,Kepler-25,,19:06:33.220,+39:29:16.3,1.19,1.31
Kepler-10 b,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,2011,40,0.0142824,0.126327,0.837495,0,0.0167573,0.0167573,Kepler-10,173,19:02:43.063,+50:14:28.7,0.895,1.056
HD 7449 b,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,2011,142,1.3131,,1275,0.82,2.33982,2.33982,HD 7449,38.5208,+01:14:29.42,-05:02:49.38,1.05,0.952526
HD 99706 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,24,1.40289,,868,0.37,2.13423,2.13423,HD 99706,129,+11:28:30.18,+43:58:00.45,1.72,5.26341
Kepler-18 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0544,0.489785,7.64159,0.000338541,0.0752115,0.0752115,Kepler-18,,19:52:19.067,+44:44:46.9,0.972,1.108
HD 218566 b,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,2011,56,0.212872,,225.7,0.3,0.687282,0.687282,HD 218566,28.5551,+23:09:10.36,-02:15:37.83,0.85,0.590728
HD 28678 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,30,1.8997,,387.1,0.168,1.31659,1.31659,HD 28678,227,+04:31:25.45,+04:34:31.15,2.03,6.33673
HAT-P-26 b,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,2011,13,0.0586489,0.565,4.234516,0.124,0.0478684,0.0478684,HAT-P-26,134,14:12:37.537,+04:03:36.1,0.816,0.788
Kepler-17 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,8,2.47943,1.33,1.4857108,0,0.0267923,0.0267923,Kepler-17,800,19:53:34.866,+47:48:54.0,1.16,1.05
HD 38283 b,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T,2011,52,0.338157,,363.2,0.41,1.02382,1.02382,HD 38283,38.3142,+05:37:01.73,-73:41:56.70,1.085,1.50465
Kepler-11 f,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,2011,9,0.00723031,0.221888,46.6888,0.013,0.250413,0.250413,Kepler-11,,19:48:27.622,+41:54:32.8,0.961,1.065
Kepler-48 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.045968,0.24177,9.67395,,0.0851485,0.0851485,Kepler-48,,19:56:33.411,+40:56:56.4,0.88,0.89
Kepler-14 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,14,8.40643,1.136,6.790123,0.0350051,0.0806879,0.0806879,Kepler-14,979.998,19:10:50.110,+47:19:58.8,1.512,2.048
Kepler-32 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0117511,0.133702,2.896,,0.0323795,0.0323795,Kepler-32,303,19:51:22.177,+46:34:27.3,0.54,0.53
Kepler-20 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.00175601,0.0773688,6.098493,0,0.063351,0.063351,Kepler-20,290,19:10:47.524,+42:20:19.3,0.912,0.944
HD 98219 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,17,2.12353,,436.9,0,1.32398,1.32398,HD 98219,134,+11:17:47.64,-23:58:31.35,1.62,2.95355
MOA-2009-BLG-319L b,Miyake 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..120M,2011,,0.157,,,,,2.4,MOA-2009-BLG-319L,6100,18:06:58.000,-26:49:11.0,0.38,
Kepler-49 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0224607,0.242446,7.2037945,,0.0598092,0.0598092,Kepler-49,,19:29:10.701,+40:35:30.4,0.55,0.53
Qatar-1 b,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,2011,60,1.08979,1.164,1.420033,0,0.0234308,0.0234308,Qatar-1,175,20:13:31.615,+65:09:43.48,0.85,0.823
HAT-P-33 b,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,2011,9,0.763256,1.686,3.474474,0,0.0499317,0.0499317,HAT-P-33,387,07:32:44.218,+33:50:06.1,1.375,1.637
Kepler-62 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0,0.173812,18.16406,0.0948683,0.119499,0.119499,Kepler-62,368,18:52:51.059,+45:20:59.5,0.69,0.64
WASP-38 b,Barros 2011,http://adsabs.harvard.edu/abs/2011A&A...525A..54B,2011,112,2.70901,1.09,6.87188,0.028,0.0758454,0.0758454,WASP-38,110,16:15:50.364,+10:01:57.3,1.23,1.35
Kepler-29 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0251535,0.25849,13.2907,0,0.109809,0.109809,Kepler-29,,19:53:23.598,+47:29:28.4,1,0.96
Kepler-31 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,2011,,0.0606674,0.383278,20.8613,0,0.158038,0.158038,Kepler-31,,19:36:05.523,+45:51:11.0,1.21,1.22
HD 18742 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2011,26,2.8638,,772,0.12,1.97816,1.97816,HD 18742,135,+03:00:10.67,-20:48:09.18,1.73,5.60612
